id_str,screen_name,english,universal,content,friend,network,sentiment,temporal,user
707887740,messiahmusic1,0.001554351,0.005778301,0.260883085,0.150687141,0.203851584,0.103889657,0.399625233,0.023929061
3198555250,MarghiAbbati,0.565053422,0.325413494,0.89080836,0.896043419,0.92765108,0.808625391,0.894209205,0.442660374
8.86E+17,JaydenKim_JK,0.006043447,0.030450445,0.158495458,0.142317413,0.213883707,0.103889657,0.218426911,0.404932889
9.91E+17,OnlyIllinois,0.021603217,0.023811569,0.553489451,0.486150388,0.158958342,0.227500288,0.26368444,0.500374835
80102969,Arturo_Sarukhan,0.00136119,0.002198441,0.066206203,0.142317413,0.093366114,0.072140034,0.099331419,0.05042453
8.25E+17,cannon_thieves,0.808401005,0.708611687,0.802367303,0.918476502,0.914504441,0.787165524,0.868358773,0.747168119
1.02E+18,vpchurchill,0.008750694,0.03867703,0.727591126,0.486150388,0.175873829,0.837653512,0.568280683,0.187396141
15727981,nbc6,0.001554351,0.002100996,0.140754288,0.078298144,0.0706455,0.103889657,0.088777716,0.023929061
14074493,Kantar,0.036578053,0.026940289,0.199356987,0.51961296,0.083581381,0.131429759,0.153323011,0.08359274
2914048865,lealavut,0.002234495,0.012907437,0.158495458,0.188251402,0.235010835,0.116958291,0.099331419,0.268297742
20067457,1150WIMA,0.028225552,0.067479061,0.699067514,0.198696697,0.66865868,0.608797244,0.218426911,0.268297742
40470898,danabratton,0.420205046,0.385458881,0.958744005,0.87579063,0.904490282,0.379894796,0.70986297,0.519687261
8.22E+17,mlszen,0.004268306,0.03867703,0.414955849,0.502884905,0.583655528,0.379894796,0.341868544,0.062757383
23482665,IcarusArts,0.001309081,0.002910297,0.097285153,0.142317413,0.194173786,0.131429759,0.153323011,0.027817973
872550355,gweezlouise,0.001725458,0.008048111,0.054380119,0.311763277,0.059581537,0.052788974,0.099331419,0.043516718
3309862877,Pornitics,0.002412482,0.003353677,0.234880083,0.311763277,0.720110381,0.174303676,0.079246657,0.283739797
8.39E+17,Mikeytm48,0.003831756,0.030450445,0.080385489,0.134339039,0.246102383,0.139219666,0.083889305,0.239056859
18625787,PatNgantcha,0.006826175,0.002571044,0.536184833,0.257367141,0.306633962,0.726110191,0.240328119,0.126666309
227929431,amlecciones,0.001945784,0.00272963,0.07065346,0.150687141,0.224270463,0.081578363,0.251826683,0.032317978
46190472,tank_design,0.014543681,0.014565852,0.365197468,0.168637131,0.694992981,0.427948527,0.288448768,0.225281737
366666718,chrisriotta,0.003134129,0.008048111,0.097285153,0.142317413,0.0706455,0.103889657,0.079246657,0.058361975
246964519,stevefmvirginia,0.005363701,0.00272963,0.637311442,0.150687141,0.433051152,0.334085683,0.11725226,0.316175249
28329617,TheLionzMusic,0.001945784,0.003116818,0.080385489,0.168637131,0.158958342,0.097851882,0.083889305,0.103156614
28118981,billhultquist,0.740522658,0.685259263,0.842944738,0.91362236,0.523710577,0.903799925,0.828720371,0.932728293
137766465,JaysonBates,0.846934867,0.385458881,0.915147612,0.91362236,0.755316728,0.884974923,0.88189516,0.650178254
9.24E+17,debs4trump,0.008750694,0.016452305,0.11728456,0.257367141,0.1160555,0.147392934,0.093921781,0.350504092
7.58E+17,angiehensleyhcm,0.386842593,0.531963409,0.920412076,0.913320754,0.936338569,0.854960709,0.553012983,0.350504092
1.01E+18,paola4science,0.002412482,0.008048111,0.091326306,0.188251402,0.306633962,0.164926807,0.11725226,0.558079309
33686312,earlson888,0.003456538,0.005778301,0.260883085,0.198696697,0.418207933,0.174303676,0.444958161,0.096222209
7.04E+17,YardleyTX,0.004268306,0.006431293,0.501354771,0.099940269,0.523710577,0.164926807,0.093921781,0.096222209
553224712,CB618444,0.286868665,0.22121616,0.570665411,0.341192636,0.655070675,0.155959099,0.123822034,0.700922407
2771345762,DemDifference,0.002618313,0.002013937,0.27456232,0.094076993,0.655070675,0.379894796,0.145447808,0.072487975
56603519,EmilyTodebush,0.002618313,0.004725362,0.449190615,0.17823307,0.40351138,0.444322738,0.240328119,0.187396141
3219999344,ordinaryfaces,0.075832357,0.043420869,0.536184833,0.311763277,0.224270463,0.379894796,0.188341809,0.283739797
47034524,rickhasen,0.002234495,0.003116818,0.080385489,0.159457582,0.083581381,0.063717928,0.074839956,0.025802286
126390162,EasterSealsMW,0.011259347,0.016452305,0.518792632,0.341192636,0.246102383,0.264499589,0.314545331,0.164984352
140195629,ezlocal,0.011259347,0.010164988,0.779298411,0.311763277,0.655070675,0.878020781,0.188341809,0.046849714
1.02E+18,dc_tribune,0.097413891,0.034358494,0.466511556,0.502884905,0.281436837,0.204946688,0.627800242,0.089707323
19195690,PEMCO,0.021603217,0.03867703,0.398120617,0.209571931,0.167245247,0.334085683,0.229193749,0.062757383
9.49E+17,CODERED_PH,0.511451548,0.415825951,0.668916287,0.69316718,0.864809695,0.494033347,0.894209205,0.481061291
17026643,1310WIBA,0.075832357,0.021041094,0.536184833,0.168637131,0.360540536,0.30513937,0.218426911,0.118360101
35022195,BuddyWinston,0.007724055,0.048615291,0.234880083,0.403675302,0.281436837,0.097851882,0.229193749,0.110529641
52921825,Station_Keeper,0.2564674,0.093608419,0.483913614,0.486150388,0.583655528,0.216010314,0.110986912,0.404932889
31165821,leeschi,0.001141902,0.001935846,0.044565652,0.061024877,0.448015507,0.072140034,0.093921781,0.027817973
317916069,ScottRickhoff,0.085904092,0.05430461,0.449190615,0.270370074,0.257541174,0.379894796,0.083889305,0.368296058
403811306,TrustedSec,0.002080127,0.002198441,0.158495458,0.150687141,0.093366114,0.30513937,0.399625233,0.025802286
19074134,marieclaire,0.002412482,0.002100996,0.188451281,0.073600737,0.213883707,0.264499589,0.288448768,0.027817973
